
 time | altitude |  velocity | accel_bias | alt (bmp) | vert_accel |
    10.2s     |523.2837m      | 0.1097m/s    | 0.0029m/s^2  | 522.9461m      | 0.0260m/s^2  |
    10.3s     |523.2862m      | 0.1108m/s    | 0.0030m/s^2  | 522.9608m      | 0.0236m/s^2  |
    10.4s     |523.2888m      | 0.1115m/s    | 0.0031m/s^2  | 522.9557m      | 0.0147m/s^2  |
    10.5s     |523.2917m      | 0.1120m/s    | 0.0031m/s^2  | 522.9704m      | 0.0258m/s^2  |
    10.6s     |523.2951m      | 0.1133m/s    | 0.0032m/s^2  | 523.0005m      | 0.0299m/s^2  |
    10.7s     |523.2992m      | 0.1147m/s    | 0.0032m/s^2  | 523.0005m      | 0.0198m/s^2  |
    10.8s     |523.3030m      | 0.1154m/s    | 0.0033m/s^2  | 523.0152m      | 0.0232m/s^2  |
    10.9s     |523.3073m      | 0.1163m/s    | 0.0034m/s^2  | 523.0152m      | 0.0157m/s^2  |
    11.0s     |523.3122m      | 0.1172m/s    | 0.0034m/s^2  | 523.0302m      | 0.0192m/s^2  |
    11.1s     |523.3170m      | 0.1175m/s    | 0.0035m/s^2  | 523.0596m      | 0.0210m/s^2  |
    11.2s     |523.3220m      | 0.1181m/s    | 0.0035m/s^2  | 523.0449m      | 0.0250m/s^2  |
    11.3s     |523.3268m      | 0.1193m/s    | 0.0036m/s^2  | 523.0449m      | 0.0231m/s^2  |
    11.4s     |523.3317m      | 0.1200m/s    | 0.0036m/s^2  | 523.0596m      | 0.0186m/s^2  |
    11.5s     |523.3370m      | 0.1203m/s    | 0.0037m/s^2  | 523.0449m      | 0.0156m/s^2  |
    11.6s     |523.3416m      | 0.1210m/s    | 0.0038m/s^2  | 523.0449m      | 0.0221m/s^2  |
    11.7s     |523.3468m      | 0.1218m/s    | 0.0038m/s^2  | 523.1250m      | 0.0144m/s^2  |
    11.8s     |523.3534m      | 0.1227m/s    | 0.0039m/s^2  | 523.1400m      | 0.0257m/s^2  |
    11.9s     |523.3602m      | 0.1234m/s    | 0.0039m/s^2  | 523.1250m      | 0.0178m/s^2  |
    12.0s     |523.3653m      | 0.1244m/s    | 0.0040m/s^2  | 523.0449m      | 0.0259m/s^2  |
    12.1s     |523.3699m      | 0.1246m/s    | 0.0040m/s^2  | 523.0449m      | 0.0096m/s^2  |
    12.2s     |523.3744m      | 0.1244m/s    | 0.0041m/s^2  | 523.0750m      | 0.0156m/s^2  |
    12.3s     |523.3791m      | 0.1246m/s    | 0.0042m/s^2  | 523.0449m      | 0.0179m/s^2  |
    12.4s     |523.3829m      | 0.1248m/s    | 0.0042m/s^2  | 523.0152m      | 0.0108m/s^2  |
    12.5s     |523.3859m      | 0.1244m/s    | 0.0043m/s^2  | 523.0152m      | 0.0099m/s^2  |
    12.6s     |523.3891m      | 0.1245m/s    | 0.0044m/s^2  | 523.0449m      | 0.0261m/s^2  |
    12.7s     |523.3932m      | 0.1254m/s    | 0.0044m/s^2  | 523.0596m      | 0.0231m/s^2  |
    12.8s     |523.3980m      | 0.1256m/s    | 0.0045m/s^2  | 523.1045m      | 0.0117m/s^2  |
    12.9s     |523.4030m      | 0.1253m/s    | 0.0046m/s^2  | 523.0744m      | 0.0147m/s^2  |
    13.0s     |523.4073m      | 0.1249m/s    | 0.0046m/s^2  | 523.0593m      | 0.0144m/s^2  |
    13.1s     |523.4105m      | 0.1246m/s    | 0.0047m/s^2  | 523.0299m      | 0.0044m/s^2  |
    13.2s     |523.4136m      | 0.1233m/s    | 0.0048m/s^2  | 523.0446m      | 0.0074m/s^2  |
    13.3s     |523.4172m      | 0.1234m/s    | 0.0049m/s^2  | 523.0744m      | 0.0247m/s^2  |
    13.4s     |523.4213m      | 0.1238m/s    | 0.0049m/s^2  | 523.1041m      | 0.0070m/s^2  |
    13.5s     |523.4259m      | 0.1236m/s    | 0.0050m/s^2  | 523.1339m      | 0.0217m/s^2  |
    13.6s     |523.4316m      | 0.1241m/s    | 0.0050m/s^2  | 523.1640m      | 0.0168m/s^2  |
    13.7s     |523.4379m      | 0.1253m/s    | 0.0051m/s^2  | 523.1937m      | 0.0317m/s^2  |
    13.8s     |523.4446m      | 0.1266m/s    | 0.0051m/s^2  | 523.2084m      | 0.0212m/s^2  |
    13.9s     |523.4514m      | 0.1270m/s    | 0.0052m/s^2  | 523.2084m      | 0.0204m/s^2  |
    14.0s     |523.4581m      | 0.1275m/s    | 0.0052m/s^2  | 523.2232m      | 0.0200m/s^2  |
    14.1s     |523.4645m      | 0.1284m/s    | 0.0053m/s^2  | 523.1736m      | 0.0189m/s^2  |
    14.2s     |523.4698m      | 0.1290m/s    | 0.0053m/s^2  | 523.1582m      | 0.0237m/s^2  |
    14.3s     |523.4744m      | 0.1295m/s    | 0.0054m/s^2  | 523.1287m      | 0.0167m/s^2  |
    14.4s     |523.4785m      | 0.1302m/s    | 0.0055m/s^2  | 523.1137m      | 0.0248m/s^2  |
    14.5s     |523.4821m      | 0.1304m/s    | 0.0056m/s^2  | 523.1137m      | 0.0152m/s^2  |
    14.6s     |523.4858m      | 0.1299m/s    | 0.0056m/s^2  | 523.0986m      | 0.0171m/s^2  |
    14.7s     |523.4892m      | 0.1297m/s    | 0.0057m/s^2  | 523.0986m      | 0.0095m/s^2  |
    14.8s     |523.4924m      | 0.1292m/s    | 0.0058m/s^2  | 523.0484m      | 0.0079m/s^2  |
    14.9s     |523.4941m      | 0.1279m/s    | 0.0059m/s^2  | 523.0484m      | 0.0101m/s^2  |
    15.0s     |523.4956m      | 0.1270m/s    | 0.0060m/s^2  | 523.0336m      | 0.0135m/s^2  |
    15.1s     |523.4964m      | 0.1259m/s    | 0.0061m/s^2  | 523.0189m      | 0.0171m/s^2  |
    15.2s     |523.4969m      | 0.1253m/s    | 0.0062m/s^2  | 522.9710m      | 0.0169m/s^2  |
    15.3s     |523.4963m      | 0.1245m/s    | 0.0063m/s^2  | 522.9710m      | 0.0108m/s^2  |
    15.4s     |523.4952m      | 0.1229m/s    | 0.0064m/s^2  | 522.9563m      | 0.0043m/s^2  |
    15.5s     |523.4941m      | 0.1217m/s    | 0.0065m/s^2  | 522.9710m      | 0.0199m/s^2  |
    15.6s     |523.4933m      | 0.1212m/s    | 0.0066m/s^2  | 522.9861m      | 0.0148m/s^2  |
    15.7s     |523.4927m      | 0.1208m/s    | 0.0067m/s^2  | 523.0011m      | 0.0173m/s^2  |
    15.8s     |523.4928m      | 0.1204m/s    | 0.0068m/s^2  | 523.0456m      | 0.0170m/s^2  |
    15.9s     |523.4941m      | 0.1200m/s    | 0.0069m/s^2  | 523.0757m      | 0.0185m/s^2  |
    16.0s     |523.4956m      | 0.1202m/s    | 0.0070m/s^2  | 523.0603m      | 0.0270m/s^2  |
    16.1s     |523.4956m      | 0.1201m/s    | 0.0071m/s^2  | 522.9830m      | 0.0215m/s^2  |
    16.2s     |523.4947m      | 0.1198m/s    | 0.0072m/s^2  | 522.9830m      | 0.0163m/s^2  |
