Tempo (ms)		Leitura
29700		3.388512
29725		3.091881
29750		3.059044
29775		3.192345
29800		3.774498
29825		4.090782
29850		3.979698
29875		3.908836
29900		3.763451
29925		3.852257
29950		4.039452
29975		4.232994
30000		4.128319
30025		4.039452
30050		4.116661
30075		3.712120
30100		3.762901
30125		3.528099
30150		3.275841
30175		3.380028
30200		3.156883
30225		2.880333
30250		2.909935
30275		2.901512
30300		2.732262
30325		2.702171
30350		2.740746
30375		2.838585
30400		3.005638
30425		2.630760
30450		2.448875
30475		2.532921
30500		2.577354
30525		2.404991
30550		2.506493
30575		2.434593
30600		2.336754
30625		2.397057
30650		2.654564
30675		2.346275
30700		2.247948
30725		2.153282
30750		2.223656
30775		2.054955
30800		2.268578
30825		2.247948
30850		2.406029
30875		2.495384
30900		2.509666
30925		2.595360
30950		2.432457
30975		2.792015
31000		2.812645
31025		2.877159
31050		2.910484
31075		2.628136
31100		2.551476
31125		2.565758
31150		2.669334
31175		2.743919
31200		2.372215
31225		2.581566
31250		2.577354
31275		2.417686
31300		2.507042
31325		2.451012
31350		2.474754
31375		2.246361
31400		2.275963
31425		2.112572
31450		2.310875
31475		2.557823
31500		2.795738
31525		2.563622
31550		2.483788
31575		2.721153
31600		2.454186
31625		2.346275
31650		2.503868
31675		2.260643
31700		2.097252
31725		2.302391
31750		2.632347
31775		2.528160
31800		2.400230
31825		2.543541
31850		2.424034
31875		2.468956
31900		2.409203
31925		2.459984
31950		2.606468
31975		2.503868
32000		2.325707
32025		2.439354
32050		2.175499
32075		2.219933
32100		2.225243
32125		2.234215
32150		2.100975
32175		2.269615
32200		2.160179
32225		2.248985
32250		2.344200
32275		1.948692
32300		2.189781
32325		2.231590
32350		1.993126
32375		1.955040
32400		2.171288
32425		2.132713
32450		2.296593
32475		2.109398
32500		2.439354
32525		2.275963
32550		2.647179
32575		2.435631
32600		2.557823
32625		2.688377
32650		2.944298
32675		2.788841
32700		2.667259
32725		2.599571
32750		2.477440
32775		2.577354
32800		2.453087
32825		2.554100
32850		2.599571
32875		2.581078
32900		2.551476
32925		2.569420
32950		2.495384
32975		2.320396
33000		2.142235
33025		2.082481
33050		2.157005
33075		2.186119
33100		2.171288
33125		2.085655
33150		2.097252
33175		1.934410
33200		1.503502
33225		1.726646
33250		1.800682
33275		1.815453
33300		1.982018
33325		1.892662
33350		2.183434
33375		2.124779
33400		2.543541
33425		2.428246
33450		2.403954
33475		2.654015
33500		2.321434
33525		2.350548
33550		2.386498
33575		2.202477
33600		2.074547
33625		2.202477
33650		2.202477
33675		1.889977
33700		2.351585
33725		2.172325
33750		2.033287
33775		1.869408
33800		1.764671
33825		1.741417
33850		1.566429
33875		1.295738
33900		1.548973
33925		1.518822
33950		1.430016
33975		1.631981
34000		1.655235
34025		1.706017
34050		1.462791
34075		1.513023
34100		1.771568
34125		1.675865
34150		1.521996
34175		1.482872
34200		1.528343
34225		1.685387
34250		1.860924
34275		1.729820
34300		1.488731
34325		1.221703
34350		1.430016
34375		1.468102
34400		1.450096
34425		1.453819
34450		1.551659
34475		1.171532
34500		1.460167
34525		1.280968
34550		1.349693
34575		1.460167
34600		1.221703
34625		1.067345
34650		0.912987
34675		1.082176
34700		1.171532
34725		1.221703
34750		1.162499
34775		1.343834
34800		1.666893
34825		1.409386
34850		1.587059
34875		1.432701
34900		1.482872
34925		1.647301
34950		1.647301
34975		1.647301
35000		1.884178
35025		1.764671
35050		2.127403
35075		1.934410
35100		1.757286
35125		1.638329
35150		1.741417
35175		1.801720
35200		1.673790
35225		1.831322
35250		1.362328
35275		1.416283
35300		1.435875
35325		1.503502
35350		1.362328
35375		1.435875
35400		1.474999
35425		1.102745
35450		1.341759
35475		1.451195
35500		1.665306
35525		1.489769
35550		1.472313
35575		1.307884
35600		1.293114
35625		1.353355
35650		1.376610
35675		1.554832
35700		1.533653
35725		1.638329
35750		1.549522
35775		1.629356
35800		1.302635
35825		1.325890
35850		1.636253
35875		1.258751
35900		1.377708
35925		1.650475
35950		1.383507
35975		1.199547
36000		1.380333
36025		1.410484
36050		1.466515
36075		1.416283
36100		1.701805
36125		1.380333
36150		1.386681
36175		1.440575
36200		1.306847
36225		1.410484
36250		1.565392
36275		1.213768
36300		1.499840
36325		1.489769
36350		1.410484
36375		1.505089
36400		1.603416
36425		1.672203
36450		1.332726
36475		1.612450
36500		1.529442
36525		1.400963
36550		1.312157
36575		1.267723
36600		1.469688
36625		1.164635
36650		1.282005
36675		1.119164
36700		0.994896
36725		1.108604
36750		1.211693
36775		1.380333
36800		1.262413
36825		1.380333
36850		1.137108
36875		1.295189
36900		1.306847
36925		1.405174
36950		1.410484
36975		1.514610
37000		1.610313
37025		1.669029
37050		1.469688
37075		1.262413
37100		1.191063
37125		1.276695
37150		1.428429
37175		1.205345
37200		1.283592
37225		1.467552
37250		1.342796
37275		1.209557
37300		1.265587
37325		1.395653
37350		1.532616
37375		1.488182
37400		1.335899
37425		1.262413
37450		1.335899
37475		1.315819
37500		1.375023
37525		1.149315
37550		1.015526
37575		1.134483
37600		1.297325
37625		1.193199
37650		1.529442
37675		1.395653
37700		1.253441
37725		1.104332
37750		1.151939
37775		1.134483
37800		1.400963
37825		1.321678
37850		1.108604
37875		1.270897
37900		1.211693
37925		1.218040
37950		1.279869
37975		1.473412
38000		1.532616
38025		1.328514
38050		1.298363
38075		1.321678
38100		0.908775
38125		1.090599
38150		1.336998
38175		1.283592
38200		1.010765
38225		1.095909
38250		1.069969
38275		1.214867
38300		1.016075
38325		1.363915
38350		1.126061
38375		1.022972
38400		0.933067
38425		1.060509
38450		0.903465
38475		1.128685
38500		1.016075
38525		1.016075
38550		1.174156
38575		1.223839
38600		1.135033
38625		1.174156
38650		0.966393
38675		1.268272
38700		1.223839
38725		1.090599
38750		0.966393
38775		1.318993
38800		0.947899
38825		1.090599
38850		1.377708
38875		1.045677
38900		1.141380
38925		1.301048
38950		1.212181
38975		1.072655
39000		1.028221
39025		0.954735
39050		0.945763
39075		1.052574
39100		1.043541
39125		1.108604
39150		1.004417
39175		0.915611
39200		0.900291
39225		1.034569
39250		1.206932
39275		1.242332
39300		0.993309
39325		1.153526
39350		1.102745
39375		1.022972
39400		0.969017
39425		0.859581
39450		0.776085
39475		1.022972
39500		1.126061
39525		0.989647
39550		1.167809
39575		1.156151
39600		1.055748
39625		1.082176
39650		1.141869
39675		1.040916
39700		1.237083
39725		1.325890
39750		0.895531
39775		1.183678
39800		1.123924
39825		1.070519
39850		1.282005
39875		1.130272
39900		1.269859
39925		1.151939
39950		1.044090
39975		0.862755
40000		1.107018
40025		1.107018
40050		0.914024
40075		1.180992
40100		1.047264
40125		1.241295
40150		1.190514
40175		1.264549
40200		1.255577
40225		1.130821
40250		1.269859
40275		1.374535
40300		0.908226
40325		1.184715
40350		1.365501
40375		1.139793
40400		1.228600
40425		0.937279
40450		1.202721
40475		1.139793
40500		1.018211
40525		1.047264
40550		1.155113
40575		0.854820
40600		0.521751
40625		0.674034
40650		1.048302
40675		0.944176
40700		0.855370
40725		0.915123
40750		0.771812
40775		0.549767
40800		0.985436
40825		0.762840
40850		0.825218
40875		0.762840
40900		0.852196
40925		0.881798
40950		1.025047
40975		1.207970
41000		0.852196
41025		0.950523
41050		0.867516
41075		0.807274
41100		1.039330
41125		0.985436
41150		1.207970
41175		1.093285
41200		0.994896
41225		1.182091
41250		1.172569
41275		0.911400
41300		0.941551
41325		0.985436
41350		0.936241
41375		1.039330
41400		0.840538
41425		0.926720
41450		0.929344
41475		1.025047
41500		1.078453
41525		0.989647
41550		0.708946
41575		0.724266
41600		1.178917
41625		0.810448
41650		0.991234
41675		0.852196
41700		0.650230
41725		1.104332
41750		1.034020
41775		0.867516
41800		0.584679
41825		0.885460
41850		0.677696
41875		0.727928
41900		0.490074
41925		0.787132
41950		0.629601
41975		0.808861
42000		0.490074
42025		0.844261
42050		0.808861
42075		0.881798
42100		1.134483
42125		1.027672
42150		1.075829
42175		0.808861
42200		0.792442
42225		0.792442
42250		0.624352
42275		0.882835
42300		0.505394
42325		0.718407
42350		0.896568
42375		1.022423
42400		1.001793
42425		0.912987
42450		1.001793
42475		0.822594
42500		0.659752
42525		1.016624
42550		0.875999
42575		0.971153
42600		1.037193
42625		1.022423
42650		0.918297
42675		0.674583
42700		0.894493
42725		1.120750
42750		0.986473
42775		1.081627
42800		1.191612
42825		0.783958
42850		0.836327
42875		0.636498
42900		0.622215
42925		0.711571
42950		0.524437
